Designator,Mid X,Mid Y,Layer,Rotation
J3,69.45mm,14.075mm,Bottom,180
R2,14.925mm,23.3mm,Top,180
R1,70.275mm,23.65mm,Top,270
R3,14.925mm,36.4mm,Top,180
R5,14.925mm,49.8mm,Top,180
R4,2.6mm,64.675mm,Top,90
C1,92.55mm,65.475mm,Top,180
S1,96.5503mm,66.629mm,Top,180
U1,92.8mm,67.35mm,Top,360
J2,95.2965mm,74.6mm,Top,270
U101,64.845mm,48.5mm,Top,270
R130,28.535mm,67.0698mm,Top,90
R129,24.57mm,69.55mm,Top,90
Y101,31.495mm,62.45mm,Top,270
C116,30.97mm,60.625mm,Top,180
C115,31.97mm,65.025mm,Top,270
C124,31.27mm,49.375mm,Top,360
R121,31.995mm,51.575mm,Top,90
R106,66.545mm,68.4mm,Top,270
C129,48.695mm,42.575mm,Top,360
C128,44.72mm,42.55mm,Top,360
C125,60.42mm,45.575mm,Top,360
C121,61.22mm,53.75mm,Top,90
C118,61.195mm,59.075mm,Top,90
C110,49.17mm,71.625mm,Top,180
C109,44.82mm,71.625mm,Top,180
C108,38.295mm,71.65mm,Top,360
C117,30.995mm,59.525mm,Top,360
U107,44.495mm,38.9mm,Top,90
U109,33.245mm,38.9mm,Top,90
R115,52.27mm,41.475mm,Top,270
R118,38.795mm,37.825mm,Top,0
R126,38.595mm,40.675mm,Top,180
R111,49.82mm,37.95mm,Top,270
C123,49.445mm,41.45mm,Top,180
C135,36.52mm,42.65mm,Top,180
R105,67.72mm,70.575mm,Top,270
R104,67.72mm,68.0mm,Top,90
R103,66.745mm,66.125mm,Top,360
R114,31.27mm,48.225mm,Top,180
U111,33.02mm,43.145mm,Top,90
U108,26.07mm,59.05mm,Top,90
U106,26.12mm,38.9mm,Top,90
U104,26.195mm,47.625mm,Top,90
R117,24.545mm,63.0mm,Top,0
R125,59.47mm,42.85mm,Top,0
R113,28.445mm,63.0mm,Top,0
R112,24.645mm,43.05mm,Top,0
R110,29.395mm,43.05mm,Top,0
R109,24.52mm,51.525mm,Top,0
R108,28.395mm,51.525mm,Top,0
R107,63.495mm,42.775mm,Top,0
C126,23.57mm,54.775mm,Top,90
C120,27.02mm,43.1mm,Top,270
C112,30.47mm,46.25mm,Top,90
C104,62.37mm,53.2mm,Top,90
C137,31.695mm,46.275mm,Top,90
D101,64.545mm,66.95mm,Top,90
C101,63.195mm,59.775mm,Top,180
R102,65.42mm,70.75mm,Top,90
R101,66.395mm,38.575mm,Top,0
D102,62.02mm,62.45mm,Top,90
Y102,28.77mm,54.675mm,Top,360
U103,61.94mm,70.55mm,Top,180
R124,66.92mm,53.7mm,Top,180
R120,61.22mm,56.425mm,Top,90
R119,66.445mm,55.1mm,Top,180
R122,51.82mm,71.675mm,Top,360
R123,58.395mm,70.85mm,Top,90
R116,63.345mm,55.15mm,Top,180
R127,59.595mm,69.625mm,Top,90
R128,42.095mm,42.6mm,Top,180
L101,66.195mm,42.475mm,Top,270
D106,67.52mm,57.2mm,Top,90
D105,62.84mm,57.375mm,Top,90
D107,34.595mm,71.625mm,Top,360
D104,65.92mm,57.2mm,Top,90
D103,64.345mm,57.225mm,Top,90
C140,33.67mm,70.1mm,Top,360
C132,30.52mm,57.625mm,Top,270
C136,25.37mm,54.8mm,Top,270
C127,55.47mm,42.5mm,Top,180
C139,63.145mm,38.675mm,Top,270
C138,62.02mm,38.675mm,Top,270
C111,55.935mm,71.62mm,Top,180
C130,39.445mm,42.65mm,Top,180
C131,53.27mm,38.3mm,Top,90
C122,30.77mm,51.55mm,Top,270
C114,62.27mm,66.15mm,Top,90
C119,31.67mm,57.625mm,Top,270
C103,64.27mm,53.35mm,Top,360
C113,61.12mm,66.35mm,Top,270
C102,67.77mm,42.3mm,Top,90
C106,61.895mm,68.3mm,Top,180
C105,64.27mm,70.55mm,Top,270
C107,62.595mm,40.7mm,Top,180
U105,46.595mm,57.15mm,Top,270
U102,57.695mm,38.9mm,Top,90
C226,52.4mm,23.15mm,Top,270
R211,50.1mm,23.225mm,Top,0
R205,49.975mm,26.75mm,Top,0
D205,50.25mm,29.725mm,Top,0
C223,52.425mm,33.675mm,Top,270
C222,51.325mm,33.675mm,Top,270
C221,50.225mm,33.675mm,Top,270
C220,49.125mm,33.675mm,Top,270
C228,25.675mm,21.8mm,Top,180
R216,47.775mm,23.3mm,Top,90
C224,52.4mm,26.55mm,Top,90
D206,24.5mm,32.025mm,Top,270
C225,23.8mm,25.675mm,Top,180
C219,34.825mm,33.675mm,Top,270
C218,33.725mm,33.675mm,Top,270
C217,32.625mm,33.675mm,Top,270
C216,31.525mm,33.675mm,Top,270
C215,30.425mm,33.675mm,Top,270
C214,29.325mm,33.675mm,Top,270
C213,28.225mm,33.675mm,Top,270
C212,27.125mm,33.675mm,Top,270
C211,39.225mm,33.675mm,Top,270
C210,38.125mm,33.675mm,Top,270
C209,37.025mm,33.675mm,Top,270
C208,35.925mm,33.675mm,Top,270
C203,48.025mm,33.675mm,Top,270
C202,46.925mm,33.675mm,Top,270
C201,45.825mm,33.675mm,Top,270
C229,26.15mm,27.25mm,Top,90
C227,26.95mm,24.15mm,Top,270
R215,24.0mm,27.975mm,Top,360
R213,24.0mm,26.8mm,Top,180
R214,23.75mm,23.375mm,Top,360
R212,23.75mm,24.525mm,Top,0
C200,44.725mm,33.675mm,Top,270
C204,40.325mm,33.675mm,Top,270
C205,41.425mm,33.675mm,Top,270
C206,42.525mm,33.675mm,Top,270
C207,43.625mm,33.675mm,Top,270
D200,45.95mm,29.725mm,Top,0
D201,41.65mm,29.725mm,Top,0
D202,37.35mm,29.725mm,Top,0
D203,28.75mm,29.725mm,Top,0
D204,33.05mm,29.725mm,Top,0
R200,45.55mm,26.725mm,Top,0
R201,41.675mm,26.725mm,Top,0
R202,37.425mm,26.725mm,Top,0
R203,29.5mm,26.725mm,Top,0
R204,33.55mm,26.725mm,Top,0
R206,45.475mm,23.225mm,Top,0
R207,41.675mm,23.225mm,Top,0
R208,37.4mm,23.225mm,Top,0
R209,29.875mm,23.225mm,Top,0
R210,33.575mm,23.225mm,Top,0
