Comment,Designator,Footprint,LCSC Part #
"100n","C1","C0603","C14663"
"USB-B","J2","CONN-USB-MINI-B","C91144"
"Jumper","J3","",""
"Module:mcu/0.1","M1","",""
"Module:input/0.1","M2","",""
"Module:power12/0.1","M3","",""
"Module:power5/0.2","M4","",""
"Module:sd/0.1","M5","",""
"Module:output/0.1","M6","",""
"Module:can/0.1","M7","",""
"Module:lin/0.1","M8","",""
"Module:ign8/0.1","M9","",""
"4.7k","R1","R0603","C23162"
"1","R2, R3, R4, R5","R2512","C11254"
"Switch SPST","S1","SMD-2_2.9x3.9x1.7","C115357"
"LIS2DW12TR","U1","LGA12","C189624"
