Designator,Mid X,Mid Y,Layer,Rotation,Ref-X(mm),Ref-Y(mm)
J3,69.4500mm,14.0750mm,Bottom,180,69.4500mm,14.0750mm
M3,61.2625mm,27.7750mm,Top,0,53.3000mm,19.8500mm
M2,38.6650mm,28.2460mm,Top,0,22.3000mm,20.9000mm
M6,85.1875mm,43.4325mm,Top,0,71.0500mm,21.9150mm
R2,14.9250mm,23.3000mm,Top,180,14.9250mm,23.3000mm
R1,70.2750mm,23.6500mm,Top,270,70.2750mm,23.6500mm
M1,45.4575mm,54.2750mm,Top,0,22.1950mm,35.6000mm
R3,14.9250mm,36.4000mm,Top,180,14.9250mm,36.4000mm
R5,14.9250mm,49.8000mm,Top,180,14.9250mm,49.8000mm
M9,17.2625mm,67.4627mm,Top,0,13.3000mm,60.5000mm
R4,2.6000mm,64.6750mm,Top,90,2.6000mm,64.6750mm
M8,72.7725mm,71.1000mm,Top,0,69.9500mm,64.8250mm
M5,82.9500mm,72.7625mm,Top,0,71.9000mm,65.0000mm
C1,92.5500mm,65.4750mm,Top,180,92.5500mm,65.4750mm
S1,96.5503mm,66.6290mm,Top,180,96.5503mm,66.6290mm
U1,92.8000mm,67.3500mm,Top,360,92.8000mm,67.3500mm
M4,51.2600mm,76.8875mm,Top,0,31.3500mm,73.1500mm
M7,25.3625mm,76.8750mm,Top,0,19.6750mm,73.3000mm
J2,95.2965mm,74.6000mm,Top,0,95.6000mm,74.6000mm
